,FECHA,WELL,FRECUENCIA,% THD-VOL IN VSD,% THD-AMP IN VSD,PF IN VSD,% THD-VOL OUT VSD,% THD-AMP OUT VSD,PF OUT VSD,VOL MTR A,VOL MTR B,VOL MTR C,VOL MTR A-Tierra,VOL MTR B-Tierra,VOL MTR C-Tierra,% THD-AMP MTR,PF MTR,MAX VOL IN VSD,MAX AMP IN VSD,MAX VOL OUT VSD,RED KVA,%RED KVA,RED KW,MAX AMP OUT VSD,% LOAD VSD,KVA VSD,KVA SUT,% LOAD SUT,AMP MOTOR,% LOAD MTR,% DESB MTR,VOL-A CON D,AMP-A CON D,VOL-B CON D,AMP-B CON D,VOL-C CON D,AMP-C CON D,%THD VOL CON D,%THD AMP CON D,P.F. CON D,VOL-A CON Y,AMP-A CON Y,VOL-B CON Y,AMP-B CON Y,VOL-C CON Y,AMP-C CON Y,%THD VOL CON Y,%THD AMP CON Y,P.F. CON Y,PIP (psi),T Motor (F),KW-BBL
21,2021-06-24,TRD-04,50.0,7.7,41.09999999999999,0.9,4.100000000000001,3.1,0.63,2825.0,2822.0,2805.0,1626.0,1640.0,1600.0,0.0,0.0,481.0,390.0,385.0,324.5307,,311.549472,606.0,83.93351800554017,403.6263,403.6263,40.36263,81.0,71.05263157894737,2.531645569620253,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,246.0,
22,2021-06-27,TRD-04,51.0,7.7,41.7,0.9,3.1,4.100000000000001,0.64,2871.0,2868.0,2856.0,1653.0,1670.0,1630.0,0.0,0.0,481.0,416.0,394.0,346.16608,,311.549472,640.0,88.64265927977839,436.2368,436.2368,43.62368,82.0,71.9298245614035,1.652892561983465,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,247.0,
23,2021-06-28,TRD-04,51.5,8.200000000000001,37.5,0.91,2.8,5.2,0.65,2888.0,2888.0,2870.0,1664.0,1682.0,1642.0,0.0,0.0,481.0,421.0,397.0,350.32673,,318.7973243,654.0,90.58171745152355,449.17374,449.17374,44.917374,83.7,73.42105263157896,2.364451691805957,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,248.4,
24,2021-06-29,TRD-04,52.0,8.1,37.5,0.916,2.8,4.8,0.662,2910.0,2907.0,2897.0,1679.0,1697.0,1657.0,0.0,0.0,481.0,432.0,400.0,359.48016,,329.28382656,662.0,91.68975069252078,458.104,458.104,45.8104,84.1,73.7719298245614,2.394480519480504,479.0,479.0,479.0,318.0,308.0,300.0,7.6,46.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.7,248.9,
25,2021-07-02,TRD-04,52.0,8.0,37.4,0.91,3.6,4.8,0.662,2921.0,2918.0,2911.0,1675.0,1703.0,1678.0,0.0,0.0,480.0,430.0,401.0,357.072,,324.93552,658.0,91.13573407202216,456.47434,456.47434,45.647434,88.0,77.19298245614034,4.142011834319527,480.0,480.0,480.0,409.0,431.0,429.0,8.1,37.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,248.9,
26,2021-07-04,TRD-04,52.0,8.1,37.5,0.91,5.7,10.0,0.61,3010.0,3010.0,3000.0,1755.0,1755.0,1720.0,0.0,0.0,480.0,425.0,436.0,352.92,,321.1572,656.0,90.85872576177285,494.80768,494.80768,49.480768,85.0,74.56140350877193,1.19047619047619,480.0,480.0,480.0,409.0,431.0,429.0,8.1,37.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,249.0,
27,2021-07-08,TRD-04,52.5,8.0,39.7,0.91,5.2,3.2,0.62,3017.0,3023.0,3000.0,1737.0,1756.0,1718.0,0.0,0.0,482.0,438.0,447.0,365.23068,,332.3599188,662.0,91.68975069252078,511.93122,511.93122,51.193122,87.0,76.31578947368422,1.953125000000006,480.0,480.0,480.0,409.0,431.0,429.0,8.1,37.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.9,250.1,
28,2021-08-26,TRD-04,53.0,8.1,38.0,0.916,5.3,11.8,0.64,3007.0,3018.0,3004.0,1738.0,1762.0,1715.0,0.0,0.0,483.0,451.0,437.0,376.8510899999999,,345.19559844,690.0,95.56786703601108,521.6469000000001,521.6469000000001,52.16469,87.6,76.84210526315789,2.693208430913346,483.0,483.0,483.0,450.0,451.0,437.0,8.1,38.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5,250.6,
29,2021-09-17,TRD-04,53.0,8.1,38.0,0.916,5.3,11.8,0.64,3015.0,3017.0,3011.0,1741.0,1760.0,1722.0,0.0,0.0,481.0,457.0,436.0,380.2834099999999,,348.33960356,693.0,95.98337950138504,522.71604,522.71604,52.271604,87.0,76.31578947368422,1.953125000000006,483.0,483.0,483.0,450.0,451.0,437.0,8.1,38.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.1,250.7,
30,2021-10-08,TRD-04,53.0,7.9,38.7,0.91,5.1,11.3,0.65,3032.0,3048.0,3021.0,1753.0,1770.0,1731.0,0.0,0.0,485.0,456.0,439.0,382.6068,,348.172188,695.0,96.26038781163435,527.83165,527.83165,52.783165,88.0,77.19298245614034,1.930501930501936,483.0,483.0,483.0,450.0,451.0,437.0,8.1,38.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.8,250.5,
31,2021-11-20,TRD-04,53.0,8.3,39.0,0.911,5.0,11.6,0.653,3038.0,3042.0,3022.0,1752.0,1774.0,1739.0,0.0,0.0,486.0,455.0,440.0,382.5549,,348.5075139,697.0,96.53739612188366,530.5564,530.5564,53.05564,88.2,77.36842105263159,2.043964519861163,486.0,486.0,486.0,427.0,450.0,455.0,8.3,39.0,0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.2,250.8,
32,2021-12-30,TRD-04,53.0,8.3,39.0,0.911,5.0,11.6,0.653,3145.0,3141.0,3123.0,1812.0,1830.0,1787.0,0.0,0.0,502.0,456.0,455.0,396.01776,,360.77217936,705.0,97.64542936288089,554.94075,554.94075,55.494075,89.0,78.0701754385965,1.136363636363636,486.0,486.0,486.0,427.0,450.0,455.0,8.3,39.0,0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.3,251.2,
